gene,arm,median_loss,median_neutral,condition,norm_exp
IRS1,2q,-0.142064872938936,-0.146793205402185,non_sig,0.0047283324632489965
STOM,9q,0.232254871380832,-0.163949836225595,non_sig,0.396204707606427
STOML1,15q,-0.0112860088101311,-0.0015595108001877,non_sig,-0.0097264980099434
STOML2,9p,-0.111097946504004,0.136852404788263,non_sig,-0.247950351292267
TXNL1,18q,-0.299787756965345,0.29277624708496397,non_sig,-0.592564004050309
TXN,9q,-0.332668224903398,0.195947356294645,non_sig,-0.528615581198043
PCCA,13q,-0.253932958515574,3.462723352980001e-05,non_sig,-0.25396758574910383
MCCC1,3q,-0.410604574264305,-0.09657529474020746,non_sig,-0.31402927952409754
CTIF,18q,-0.2218739283479615,0.09965608288655135,non_sig,-0.32153001123451286
MIF4GD,17q,-0.353913445589422,-0.00841648735132335,non_sig,-0.3454969582380987
TUBGCP3,13q,-0.242559600350727,-0.00269863005355885,non_sig,-0.23986097029716813
TUBGCP2,10q,-0.113121281449532,-0.09221105516975076,non_sig,-0.020910226279781244
BOD1,5q,-0.0748045561682863,0.00741769878588545,non_sig,-0.08222225495417175
BOD1L1,4p,-0.0569237682865274,0.0836404741206962,non_sig,-0.1405642424072236
GRK5,10q,-0.121546652296672,-0.0950828739239031,non_sig,-0.026463778372768892
GRK6,5q,-0.101073364436923,-0.123802518094848,non_sig,0.022729153657925008
GPR39,2q,-0.30449635873244,0.17056535211367002,non_sig,-0.47506171084611004
FLT3,13q,-0.422398013560067,-0.0577897819842137,non_sig,-0.3646082315758533
FGFR2,10q,-0.15848158393822198,-0.458065730716064,non_sig,0.299584146777842
PDGFRB,5q,-0.3871420684447745,-0.4752046415336155,non_sig,0.08806257308884102
FGFR3,4p,0.0612634474675051,-0.262469907854684,non_sig,0.3237333553221891
KDR,4q,-0.494042244932621,0.0804930260082878,non_sig,-0.5745352709409088
FLT1,13q,-0.0942428697634501,0.05166804234564935,non_sig,-0.14591091210909946
FGFR1,8p,-0.1440791755373405,-0.028823496893985348,non_sig,-0.11525567864335516
FLT4,5q,0.0621524868859102,-0.0112026518141133,non_sig,0.0733551387000235
FGFR4,5q,-0.13394342463648323,-0.259754429497198,non_sig,0.12581100486071478
PDGFRA,4q,-0.279737296404439,-0.632588012536137,non_sig,0.35285071613169794
KIT,4q,-0.428904130959429,-0.5002060490842646,non_sig,0.0713019181248356
LAYN,11q,0.05737356966659152,-0.504887384506571,non_sig,0.5622609541731625
BACH1,21q,-0.156055145843192,-0.0712664267772474,non_sig,-0.0847887190659446
BACH2,6q,-0.479173068657028,-0.4672147848638225,non_sig,-0.011958283793205515
ITM2B,13q,-0.336279246838849,-0.199535025913912,non_sig,-0.13674422092493702
ITM2C,2q,-0.22025581502650798,-0.17799327494829098,non_sig,-0.042262540078217004
TMX3,18q,-0.21782178692861498,0.05737223105901805,non_sig,-0.27519401798763304
P4HB,17q,-0.0566904130867565,0.1218654394835795,non_sig,-0.17855585257033602
ETS2,21q,-0.148135616925489,-0.029966443654462,non_sig,-0.118169173271027
FLI1,11q,-0.913883414136404,-0.597788420938705,non_sig,-0.31609499319769896
ETV5,3q,0.333277252220046,-0.0867155038985071,non_sig,0.41999275611855313
GABPA,21q,-0.136615824729632,-0.0337926501464983,non_sig,-0.1028231745831337
ETS1,11q,-0.1957818832368515,-0.148170123596924,non_sig,-0.0476117596399275
ERG,21q,-0.7678375007305716,-0.28228779310893,non_sig,-0.48554970762164157
ETV1,7p,0.06854647860510145,-0.489581832622293,non_sig,0.5581283112273945
KCTD15,19q,-0.206365335865854,-0.0662482756129702,non_sig,-0.1401170602528838
KCTD12,13q,-0.3478132636133695,-0.177197019390684,non_sig,-0.1706162442226855
KCTD21,11q,0.01511844635895665,-0.152400764867121,non_sig,0.16751921122607766
N4BP2L1,13q,-0.201274553496129,-0.435101596029111,non_sig,0.23382704253298203
N4BP2,4p,-0.300497910645697,-0.0453142529686481,non_sig,-0.25518365767704887
N4BP2L2,13q,-0.180376813336912,0.1054672320525455,non_sig,-0.2858440453894575
PTPN2,18p,-0.413678278076612,-0.03202143732408045,non_sig,-0.38165684075253153
PTPRE,10q,-0.433651853629811,-0.00875123356518145,non_sig,-0.4249006200646296
PTPN9,15q,-0.206513034301029,-0.02472283362939985,non_sig,-0.18179020067162915
PTPN11,12q,-0.2417646663328385,-0.0172561411832256,non_sig,-0.2245085251496129
PTPN6,12p,-0.61551874341928,-0.500794972458215,non_sig,-0.11472377096106501
PTPN7,1q,-0.817405628646278,-0.714043769687324,non_sig,-0.103361858958954
PTPN1,20q,-0.5354464229207561,-0.21173163545257,non_sig,-0.32371478746818605
KCNJ15,21q,-0.21932972812931978,-0.353723885782358,non_sig,0.13439415765303825
CSNK1E,22q,-0.08291874821842035,-0.0197735437163046,non_sig,-0.06314520450211575
CSNK1D,17q,-0.1508176712772505,0.0675629932249599,non_sig,-0.2183806645022104
TTBK1,6p,-0.0023427831275239924,0.232368138224966,non_sig,-0.23471092135249
CSNK1G1,15q,-0.0044558683604547,-0.009306537095688698,non_sig,0.0048506687352339985
CSNK1A1,5q,-0.06000095487886953,-0.06350393892062182,non_sig,0.0035029840417522967
CSNK1G3,5q,-0.18758837256973915,-0.01653398103981235,non_sig,-0.1710543915299268
VRK1,14q,-0.272518006613435,-0.105269617613236,non_sig,-0.167248389000199
CSNK1G2,19p,-0.0013037814632526,0.153270181368961,non_sig,-0.1545739628322136
VRK2,2p,-0.015421289486924346,-0.0132055112773762,non_sig,-0.002215778209548146
TRPC4,13q,-0.2798309856841035,-0.164698709144408,non_sig,-0.11513227653969546
TRPC1,3q,0.296501573387355,-0.015191128655335,non_sig,0.31169270204269
TRPC6,11q,0.367779602392231,-0.342175049270604,non_sig,0.709954651662835
CRYZL1,21q,-0.105475473993472,-0.0354549854083627,non_sig,-0.0700204885851093
TP53I3,2p,-0.102274597116595,-0.2405186135610765,non_sig,0.1382440164444815
CRYZ,1p,-0.195171981707492,0.02805830194919275,non_sig,-0.22323028365668476
RTN4IP1,6q,-0.2012714969670515,0.04024952013791165,non_sig,-0.24152101710496315
VAT1L,16q,-0.680645923921603,-0.631982476398263,non_sig,-0.04866344752333995
VAT1,17q,-0.400581560696792,-0.184639918776291,non_sig,-0.21594164192050103
PHLPP1,18q,-0.300609292238296,0.252638582094507,non_sig,-0.5532478743328031
PHLPP2,16q,-0.22806454677749,-0.02542934664661595,non_sig,-0.20263520013087405
CPA4,7q,-0.0647860600183154,-0.580371238730793,non_sig,0.5155851787124776
KCTD1,18q,-0.0238569282724271,-0.111432538344163,non_sig,0.0875756100717359
LCP1,13q,-0.955585827737298,-0.7524236471124555,non_sig,-0.2031621806248426
PLS1,3q,0.0338620861580552,-0.266528547503052,non_sig,0.3003906336611072
SLC39A6,18q,-0.0959101841429559,0.1448961108544255,non_sig,-0.2408062949973814
SLC39A14,8p,-0.186552860431825,0.060990121547978796,non_sig,-0.2475429819798038
SLC39A8,4q,-0.168471580106925,0.03564938210917675,non_sig,-0.20412096221610176
SLC39A4,8q,-0.456222176388162,-0.4795228735266765,non_sig,0.023300697138514515
SLC39A10,2q,0.0257984881320212,-0.0228100200577702,non_sig,0.0486085081897914
ADAMTS5,21q,-0.00968123601788945,-0.2636763939105745,non_sig,0.25399515789268506
ADAMTS12,5p,-0.0942777640738392,-0.1624037446765305,non_sig,0.06812598060269129
ADAMTS1,21q,-0.342086373090276,-0.4838905665443205,non_sig,0.1418041934540445
ADAMTS15,11q,0.3657650134833685,-0.025572712989406,non_sig,0.3913377264727745
ADAMTS9,3p,0.38521723711257005,0.298902479669108,non_sig,0.08631475744346206
ADAMTS4,1q,5.69515366576504,-0.438025097481209,non_sig,6.133178763246249
ADAMTS3,4q,0.05331160384506485,-0.1232933661098,non_sig,0.17660496995486485
SIAH1,16q,-0.02379440964936335,-0.0373685737112741,non_sig,0.013574164061910747
SIAH2,3q,-0.090478807632423,-0.0225529645307748,non_sig,-0.0679258431016482
NALCN,13q,-0.297134443026195,-0.1305490306714216,non_sig,-0.16658541235477342
CACNA1C,12p,-0.548015082425121,0.106848440223619,non_sig,-0.65486352264874
SCN3A,2q,-1.036270448348207,-0.215904566752171,non_sig,-0.820365881596036
C2CD2,21q,-0.1469900874555505,0.0141053559753719,non_sig,-0.1610954434309224
C2CD2L,11q,-0.234541275359326,0.051213565236455705,non_sig,-0.2857548405957817
ZNF521,18q,-0.3739660966224315,-0.27793135651176104,non_sig,-0.09603474011067048
ZNF423,16q,-0.745546241211059,-0.758864875338834,non_sig,0.013318634127775009
ADRA2A,10q,-0.256003386805419,-0.42109775110259,non_sig,0.165094364297171
ANGPTL2,9q,-0.456101219446856,-0.5298557137637105,non_sig,0.07375449431685455
ANGPTL3,1p,0.41017227444013,-0.0379934901253091,non_sig,0.4481657645654391
FGB,4q,-0.374886290455776,-0.392136520914258,non_sig,0.017250230458482008
