gene,arm,median_loss,median_neutral,condition,norm_exp
SRSF5,14q,3.4224759298180207,3.7390775541303327,non_sig,-0.316601624312312
SRSF7,2p,8.386308706839088,8.321882888932429,non_sig,0.06442581790665969
SRSF3,6p,9.599771000886689,9.679269518540195,non_sig,-0.0794985176535068
SRSF1,17q,7.111917309430238,7.161012939208911,non_sig,-0.0490956297786731
SRSF9,12q,6.508306336410563,6.666382081860247,non_sig,-0.1580757454496844
GTSF1,12q,3.3398107073803205,3.7125734936839256,non_sig,-0.37276278630360515
MIA,19q,3.4002284707737918,1.848423226868941,non_sig,1.5518052439048509
OSBP2,22q,2.307378069059692,2.3473439087662245,non_sig,-0.039965839706532336
LAMP1,13q,7.295500340630286,7.391422840025307,non_sig,-0.09592249939502029
ITIH2,10p,2.0648328904984665,1.9517477715393623,non_sig,0.11308511895910422
ITIH3,3p,2.7333990111084834,2.873251294715844,non_sig,-0.13985228360736057
ITIH5,10p,2.491596494760664,2.241653930764601,non_sig,0.24994256399606307
TFDP1,13q,1.2198794029378122,1.317585252752532,non_sig,-0.09770584981471986
KCNH1,1q,4.192914183577651,4.460479780781501,non_sig,-0.2675655972038502
AQP1,7p,1.2728974135819435,2.0951023355934675,non_sig,-0.822204922011524
AQP5,12q,3.4110261812704534,2.2541919771082455,non_sig,1.156834204162208
ACBD7,10p,0.4887835028207667,0.8560492869607106,non_sig,-0.3672657841399439
ECI2,6p,3.4495255654974497,3.472135360021839,non_sig,-0.022609794524389493
NEK5,13q,3.6316859562532633,3.5945435698045576,non_sig,0.03714238644870571
NEK3,13q,-1.5237278772761478,0.0269065110867429,non_sig,-1.5506343883628906
NEK7,1q,1.9299429332814344,1.9522521151791554,non_sig,-0.02230918189772102
EGLN1,1q,2.2718522887645314,2.3133032503894566,non_sig,-0.04145096162492523
LY75,2q,1.9927551425436745,2.518572725512142,non_sig,-0.5258175829684677
MRC2,17q,2.9790698675944065,3.0577505311327453,non_sig,-0.0786806635383388
LTBP1,2p,1.2328336948644478,1.0223093488334316,non_sig,0.21052434603101622
PSPC1,13q,5.863794280618218,6.1242114601885245,non_sig,-0.2604171795703065
SFPQ,1p,8.361410504371378,8.437177137445195,non_sig,-0.07576663307381715
WDFY1,2q,2.277987265130359,2.3625161923678077,non_sig,-0.08452892723744876
PTPRK,6q,2.4016044157606578,2.5443692967116753,non_sig,-0.14276488095101758
PTPRF,1p,4.599468752564507,4.819589757665652,non_sig,-0.22012100510114507
PTPRA,20p,2.576619729809304,2.680662081284422,non_sig,-0.10404235147511809
PTPRS,19p,2.2950312272187245,2.3840002697074327,non_sig,-0.08896904248870818
PTPRU,1p,2.137052337188737,2.4867359686904535,non_sig,-0.34968363150171644
RDH11,14q,3.7431867162548507,3.8628002891593196,non_sig,-0.11961357290446895
ISCA2,14q,3.0525410798731794,3.312420836622522,non_sig,-0.2598797567493425
ISCA1,9q,2.3900852614274433,2.383946926042,non_sig,0.006138335385443394
ALG11,13q,2.298455999467188,2.303407929338656,non_sig,-0.004951929871467975
ALG2,9q,2.9425985315403063,3.1238357579988745,non_sig,-0.1812372264585682
CLCN3,4q,2.549891457999207,2.5264023972916125,non_sig,0.0234890607075946
CLCN7,16p,1.8594232928401924,2.089771255565249,non_sig,-0.23034796272505642
CLCN6,1p,0.3451469464349211,0.0482715632036468,non_sig,0.2968753832312743
XKR7,20q,0.4409427592957123,0.1010073003520016,non_sig,0.3399354589437107
CCM2,7p,2.476614909625049,2.6418262414960045,non_sig,-0.16521133187095538
PLAG1,8q,5.89585314925034,5.732484848390461,non_sig,0.16336830085987852
MTMR9,8p,2.1205377951585853,2.596537371840125,non_sig,-0.4759995766815397
MTMR6,13q,1.33288201382364,1.7888267719557294,non_sig,-0.45594475813208946
ATP4A,19q,3.8748254672598996,3.746724790876466,non_sig,0.1281006763834336
CDK1,10q,4.02835837214295,4.4267337801961055,non_sig,-0.3983754080531554
CDK9,9q,2.4494423225716484,2.5065098849596588,non_sig,-0.05706756238801036
CDK7,5q,1.4824667009574817,1.2194120569471316,non_sig,0.26305464401035006
CDK6,7q,3.105895284499259,3.464200370789357,non_sig,-0.35830508629009783
CDK5,7q,2.3759943498709943,2.8454561861853978,non_sig,-0.4694618363144034
CDK2,12q,2.6739016706874574,2.688954378578431,non_sig,-0.015052707890973682
INHBA,7p,1.388650617700008,2.172716827786892,non_sig,-0.7840662100868838
NIT1,1q,3.5506456368784702,3.79739176008232,non_sig,-0.2467461232038497
GDAP1,8q,2.391780713890328,2.459675114115436,non_sig,-0.06789440022510806
LSM4,19p,4.84683057755791,5.021894932689264,non_sig,-0.17506435513135443
MYL9,20q,4.352661458223583,3.2418735632479465,non_sig,1.1107878949756365
GGT7,20q,2.170216096048459,1.966879198685274,non_sig,0.20333689736318483
GRB2,17q,4.799505760047288,5.381136864936988,non_sig,-0.5816311048897003
KDSR,18q,2.844319313570568,3.077726214520728,non_sig,-0.2334069009501598
RDH14,2p,3.5742677166322014,3.6622781294054194,non_sig,-0.08801041277321797
RDH13,19q,4.121683549196066,4.368828445118671,non_sig,-0.24714489592260502
MYO1D,17q,3.391957007013977,3.601618838238186,non_sig,-0.20966183122420912
MYO1G,7p,4.854525357444465,3.9765509949374653,non_sig,0.8779743625069996
MYO1F,19p,3.1120472803973356,3.223244712178899,non_sig,-0.1111974317815636
